fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.jfree.chart.labels.StandardXYToolTipGenerator,true,false,false,,,,,,false,false,10,6,14,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardXYZToolTipGenerator,true,false,false,,,,,,false,false,14,26,19,DEPENDENCY_TYPES>5
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,true,false,false,,,,,,false,false,12,18,19,DEPENDENCY_TYPES>5
org.jfree.chart.labels.are,true,false,false,,,,,,false,false,17,22,19,DEPENDENCY_TYPES>5
org.jfree.chart.labels.for,true,false,false,,,,,,false,false,22,34,19,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.labels.implements,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.labels.that,true,false,false,,,,,,false,false,0,0,11,DEPENDENCY_TYPES>5
org.jfree.chart.labels.used,true,false,false,,,,,,false,false,15,29,17,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.legend.LegendGraphic,true,false,true,,,,,,false,false,68,68,53,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.legend.LegendItem,true,false,false,,,,,,false,false,64,81,44,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.legend.LegendItemBlockContainer,true,false,false,,,,,,false,false,10,12,21,DEPENDENCY_TYPES>5
org.jfree.chart.legend.LegendItemCollection,true,false,false,,,,,,false,false,8,12,17,DEPENDENCY_TYPES>5
org.jfree.chart.legend.LegendTitle,true,false,false,,,,,,false,false,49,64,71,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.legend.PaintScaleLegend,true,false,true,,,,,,false,false,64,63,60,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.CategoryMarker,true,false,false,,,,,,false,false,11,13,18,DEPENDENCY_TYPES>5
org.jfree.chart.plot.CombinedDomainCategoryPlot,true,false,false,,,,,,false,false,73,72,65,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.CombinedDomainXYPlot,true,false,false,,,,,,false,false,89,77,70,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.CombinedRangeCategoryPlot,true,false,false,,,,,,false,false,63,65,63,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.CombinedRangeXYPlot,true,false,false,,,,,,false,false,80,74,66,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.Crosshair,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.plot.DialShape,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.plot.FastScatterPlot,true,false,true,,,,,,false,false,91,94,72,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.IntervalMarker,true,false,false,,,,,,false,false,12,12,21,DEPENDENCY_TYPES>5
org.jfree.chart.plot.Marker,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.plot.MeterPlot,true,false,true,,,,,,false,false,129,144,96,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.Plot,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.plot.PlotRenderingInfo,true,false,false,,,,,,false,false,16,23,27,DEPENDENCY_TYPES>5
org.jfree.chart.plot.PlotState,true,false,false,,,,,,false,false,1,1,7,DEPENDENCY_TYPES>5
org.jfree.chart.plot.PolarAxisLocation,true,false,false,,,,,,false,false,0,0,9,DEPENDENCY_TYPES>5
org.jfree.chart.plot.PolarPlot,true,false,true,,,,,,false,false,221,208,153,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.RingPlot,true,false,true,,,,,,false,false,57,69,67,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.SpiderWebPlot,true,false,true,,,,,,false,false,128,169,109,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.ThermometerPlot,true,false,true,,,,,,false,false,142,158,113,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.ValueMarker,true,false,false,,,,,,false,false,8,7,10,DEPENDENCY_TYPES>5
org.jfree.chart.plot.WaferMapPlot,true,false,false,,,,,,false,false,31,58,56,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.are,true,false,false,,,,,,false,false,9,15,21,DEPENDENCY_TYPES>5
